,Restaurante,Dirección,Direccion_Web,Vader,Estrellas,Tipo_de_comida
122,Calabrasa,"Passeig del Born 27, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d16738240-Reviews-Calabrasa-Barcelona_Catalonia.html,0.8883,5.0,Tapas
123,Caminito Grill Steak House,"Calle de l'Atlantida, 27, 29, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d25459161-Reviews-Caminito_Grill_Steak_House-Barcelona_Catalonia.html,0.9382,5.0,Meats
124,Can Boneta,"Calle Balmes, 139, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d6973561-Reviews-Can_Boneta-Barcelona_Catalonia.html,0.836,5.0,Tapas
125,Can Cisa - Bar Brutal,"Carrer de la Princesa, 14, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d5001892-Reviews-Can_Cisa_Bar_Brutal-Barcelona_Catalonia.html,0.8934,5.0,Seafood
126,Can Cortada,"Avinguda de l'Estatut de Catalunya, s/n, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d697460-Reviews-Can_Cortada-Barcelona_Catalonia.html,0.9531,5.0,Tapas
127,Can Culleretes,"Calle Quintana, 5 Ciutat Vella, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d697461-Reviews-Can_Culleretes-Barcelona_Catalonia.html,0.9371,5.0,Tapas
128,Can Dendê,"Carrer Ciutat de Granada, 44, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d7387261-Reviews-Can_Dende-Barcelona_Catalonia.html,0.9201,5.0,Meats
129,Can Fisher,"Avenida Litoral, 64, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d12494116-Reviews-Can_Fisher-Barcelona_Catalonia.html,0.9281,5.0,Tapas
130,Can Kenji,"Carrer Rossello 325, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2044401-Reviews-Can_Kenji-Barcelona_Catalonia.html,0.8807,5.0,Meats
131,Can Majó,"Carrer Emília Llorca Martín, 23, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d697463-Reviews-Can_Majo-Barcelona_Catalonia.html,0.91,5.0,Tapas
132,Can Paixano (La Xampanyeria),"Carreer de la Reina Christina 7, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d940427-Reviews-Can_Paixano_La_Xampanyeria-Barcelona_Catalonia.html,0.9274,5.0,Tapas
133,Can Pizza,"Passatge SImó, 21, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d15660471-Reviews-Can_Pizza-Barcelona_Catalonia.html,0.8481,5.0,Italian
134,Can Ramonet,"Calle Maquinista, 17, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d697465-Reviews-Can_Ramonet-Barcelona_Catalonia.html,0.8973,5.0,Seafood
135,Can Sole,"Calle Sant Carles, 4, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d997984-Reviews-Can_Sole-Barcelona_Catalonia.html,0.9623,5.0,Tapas
136,Can Travi Nou,"12 Carrer de Jorge Manrique, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d697466-Reviews-Can_Travi_Nou-Barcelona_Catalonia.html,0.8485,5.0,Meats
137,Can Valles,"Carrer d'Arago, 95. Entre Calabria y Rocafort, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1036570-Reviews-Can_Valles-Barcelona_Catalonia.html,0.8658,5.0,Tapas
138,Can Xurrades Gastronomic,"Casanova, 212, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d7799852-Reviews-Can_Xurrades_Gastronomic-Barcelona_Catalonia.html,0.8439,5.0,Meats
139,Capet,"Cometa, 5, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d6756413-Reviews-Capet-Barcelona_Catalonia.html,0.8074,5.0,Seafood
140,Caramba Tapas,"Carrer de la Cera 57, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1872794-Reviews-Caramba-Barcelona_Catalonia.html,0.9633,5.0,Tapas
141,Caravelle,"Pintor Fortuny 31, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d3499028-Reviews-Caravelle-Barcelona_Catalonia.html,0.9419,5.0,Meats
142,Carballeira,"C/ Reina Cristina, 3, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d997674-Reviews-Carballeira-Barcelona_Catalonia.html,0.9042,5.0,Tapas
143,Carlota Akaneya,"Pintor Fortuny 32, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2369018-Reviews-Carlota_Akaneya-Barcelona_Catalonia.html,0.9393,5.0,Tapas
144,Casa Alfonso,"Roger de Llúria, 6, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1027153-Reviews-Casa_Alfonso-Barcelona_Catalonia.html,0.886,5.0,Tapas
145,Casa Amàlia,"Ptge. del Mercat, 14, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2002185-Reviews-Casa_Amalia-Barcelona_Catalonia.html,0.9196,5.0,Tapas
146,Casa Delfin,"Passeig del Born, 36, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1490986-Reviews-Casa_Delfin-Barcelona_Catalonia.html,0.9432,5.0,Tapas
147,Casa Dorita,"Calle Tamarit, 142, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d10429253-Reviews-Casa_Dorita-Barcelona_Catalonia.html,0.9217,5.0,Tapas
148,Casa Guinart,"Ramblas, 95, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d3650118-Reviews-Casa_Guinart-Barcelona_Catalonia.html,0.7783,4.5,Tapas
149,Casa Jordi,"Passatge MARIMON, 18, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1080779-Reviews-Casa_Jordi-Barcelona_Catalonia.html,0.8625,5.0,Tapas
150,Casa Lolea Barcelona,"Sant Pere Mes Alt, 49, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d7656645-Reviews-Casa_Lolea_Barcelona-Barcelona_Catalonia.html,0.8832,5.0,Tapas
151,Casa Mari y Rufo,"C/freixures 11, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d777429-Reviews-Casa_Mari_y_Rufo-Barcelona_Catalonia.html,0.8779,5.0,Seafood
152,Casa Masana,"Carrer de Balmes, 129, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2515421-Reviews-Casa_Masana-Barcelona_Catalonia.html,0.8442,5.0,Tapas
153,Casa Rafols,"Ronda Sant Pere 74, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d14761374-Reviews-Casa_Rafols-Barcelona_Catalonia.html,0.8225,5.0,Tapas
154,Casa de Tapas Cañota,"Lleida 7, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1083633-Reviews-Casa_de_Tapas_Canota-Barcelona_Catalonia.html,0.8807,5.0,Tapas
155,Catalunya Restaurante,"Calle Avinyo 42, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d11982313-Reviews-Catalunya_Restaurant-Barcelona_Catalonia.html,0.8655,5.0,Tapas
156,Cecconi's Barcelona,"Passeig de Colom, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d11835130-Reviews-Cecconi_s_Barcelona-Barcelona_Catalonia.html,0.9432,5.0,Tapas
157,CentOnze Restaurante,"Ramblas 111, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1371219-Reviews-CentOnze_Restaurant-Barcelona_Catalonia.html,0.8176,5.0,Tapas
158,Cera 23,"Carrer de la Cera, 23, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2314335-Reviews-Cera_23-Barcelona_Catalonia.html,0.9022,5.0,Tapas
159,Cervecería Catalana,"Carrer de Mallorca, 236, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d782944-Reviews-Cerveceria_Catalana-Barcelona_Catalonia.html,0.9313,5.0,Tapas
160,Ceviche 103,"Carrer de Londres, 103, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d5452880-Reviews-Ceviche_103-Barcelona_Catalonia.html,0.9175,5.0,Seafood
161,Chaka Khan,"Carrer Hospital, 104, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d12787272-Reviews-Chaka_Khan-Barcelona_Catalonia.html,0.9153,5.0,Tapas
162,Chalito,"Rambla Catalunya 12, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d13197190-Reviews-Chalito_Rambla-Barcelona_Catalonia.html,0.9118,5.0,Seafood
163,Champanillo,"Plaça Doctor Letamendi 37, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d10193983-Reviews-Champanillo_Barcelona-Barcelona_Catalonia.html,0.9814,5.0,Tapas
164,Cheese's Art,"Calle Enric Granados, 13, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2323075-Reviews-Cheese_s_Art-Barcelona_Catalonia.html,0.9325,5.0,Meats
165,Chen Ji,"Ali Bei 65, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2691999-Reviews-Chen_Ji-Barcelona_Catalonia.html,0.9428,5.0,Tapas
166,Chez Coco,"Diagonal, 465, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d3168574-Reviews-Chez_Coco-Barcelona_Catalonia.html,0.9524,5.0,Tapas
167,Chicha Bar Bodega,"Passeig de Sant Joan 80, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d8403577-Reviews-Chicha_Bar_Bodega-Barcelona_Catalonia.html,0.8481,5.0,Tapas
168,Chihuahua restaurant,"Passeig de Maragall, 107, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d6704204-Reviews-Chihuahua_Restaurant-Barcelona_Catalonia.html,0.9642,5.0,Meats
169,Chilango's Taqueria Barcelona,"Carrer Nou de la Rambla 95, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d12978144-Reviews-Chilango_s_Taqueria_Barcelona-Barcelona_Catalonia.html,0.8516,5.0,Meats
170,Chill Bar Barcelona,"Calle Provenca 424, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1945669-Reviews-Chill_Bar_Barcelona-Barcelona_Catalonia.html,0.8519,5.0,Tapas
171,Chivuo's Slow Street Food & Craft Beer,"Carrer del Torrent de l'Olla, 175, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d7014721-Reviews-Chivuo_s_Gracia_Slow_Street_Food_Craft_Beer-Barcelona_Catalonia.html,0.9001,5.0,Meats
172,Churrería Laietana,"Via Laietana 46, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2216792-Reviews-Churreria_Laietana-Barcelona_Catalonia.html,0.836,5.0,Italian
173,Chéri,"Enrique Granados, 122, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d4502088-Reviews-Cheri-Barcelona_Catalonia.html,0.946,5.0,Tapas
174,Cinc Sentits,"Entenza 60, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d697497-Reviews-Cinc_Sentits-Barcelona_Catalonia.html,0.944,5.0,Bar
175,Citizen Café,"Plaza Urquinaona 4, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d6681906-Reviews-Citizen_Cafe_Brunch_Barcelona-Barcelona_Catalonia.html,0.9088,5.0,Seafood
176,Citrus Restaurant & Sushi bar,"Passeig de Gracia, 44, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d819628-Reviews-Citrus_Restaurant_Sushi_bar-Barcelona_Catalonia.html,0.8555,5.0,Tapas
177,Club de L'empanada,"C/ Dagueria 7, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d4072374-Reviews-Club_de_L_empanada-Barcelona_Catalonia.html,0.93,5.0,Tapas
178,Cocina Hermanos Torres,"Carrer del Taquígraf Serra, 20, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d14783967-Reviews-Cocina_Hermanos_Torres-Barcelona_Catalonia.html,0.802,5.0,Tapas
179,CocoVail Beer Hall,"Calle Aragó 284 bis, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d10744808-Reviews-CocoVail_Beer_Hall-Barcelona_Catalonia.html,0.8481,5.0,Bar
180,Colmado,"Provença 236, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d4155891-Reviews-Colmado_Barcelona-Barcelona_Catalonia.html,0.9153,5.0,Tapas
181,Colom,"Escudellers, 33, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d3179219-Reviews-Colom-Barcelona_Catalonia.html,0.8885,5.0,Tapas
182,Comida De Olla,"Carrer de Praga, 1, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d10325973-Reviews-Comida_De_Olla-Barcelona_Catalonia.html,0.9757,5.0,Meats
183,Conesa Entrepans,"Carrer de La Llibreteria, 1, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1036122-Reviews-Conesa_Entrepans-Barcelona_Catalonia.html,0.9744,5.0,Tapas
184,Contempo Gastrobar,"Calle Bergara, 9, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d3377895-Reviews-Contempo_Gastrobar-Barcelona_Catalonia.html,0.926,5.0,Tapas
185,Copasetic Barcelona,"Diputacio, 55, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d4262256-Reviews-Copasetic_Barcelona-Barcelona_Catalonia.html,0.9081,5.0,Meats
186,Costa Pacifico,"Plaça Sant Agustí Vell 13, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d10874765-Reviews-Costa_Pacifico-Barcelona_Catalonia.html,0.9251,5.0,Tapas
187,Coure,"Passatge Marimon 20, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d803393-Reviews-Coure-Barcelona_Catalonia.html,0.8402,5.0,Tapas
188,Craft Barcelona,"C/ Paradis 4, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d10061118-Reviews-Craft_Barcelona-Barcelona_Catalonia.html,0.8883,5.0,Tapas
189,Cremeria Toscana,"Carrer Muntaner, 161, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1126309-Reviews-Cremeria_Toscana-Barcelona_Catalonia.html,0.92,5.0,Italian
190,Creps Barcelona,"Enric Granados, 38, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d8780349-Reviews-Creps_Barcelona-Barcelona_Catalonia.html,0.9022,5.0,Seafood
191,Creps al Born,"Passeig del Born, 12, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d809225-Reviews-Creps_al_Born-Barcelona_Catalonia.html,0.9349,5.0,Asian
192,CrosMas,"Casanova 158, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d15346784-Reviews-CrosMas-Barcelona_Catalonia.html,0.9325,5.0,Seafood
193,Cruix,"Carrer d'entença 57, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d13172024-Reviews-Cruix-Barcelona_Catalonia.html,0.9325,5.0,Tapas
194,Cu-Cut,"C/Enric Granados 68, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d7362191-Reviews-Cu_Cut-Barcelona_Catalonia.html,0.946,5.0,Tapas
195,Cuines Santa Caterina,"Francesc Cambó 16, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d786958-Reviews-Cuines_Santa_Caterina-Barcelona_Catalonia.html,0.9118,5.0,Tapas
196,DOP Restaurante,"Via Augusta, 201, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d7721407-Reviews-DOP_Restaurante-Barcelona_Catalonia.html,0.8807,5.0,Tapas
197,Da Greco,"Carrer de Santa Teresa, 10, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1066946-Reviews-Da_Greco-Barcelona_Catalonia.html,0.9595,5.0,Tapas
198,De Paula L'hamburgueseria del Poble Sec,"Creu Dels Molers, 65, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d6484807-Reviews-De_Paula_L_hamburgueseria_del_Poble_Sec-Barcelona_Catalonia.html,0.9001,5.0,Tapas
199,De Tapa Madre,"Mallorca, 301, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1006766-Reviews-De_Tapa_Madre-Barcelona_Catalonia.html,0.9402,5.0,Tapas
200,Deja Burg,"Corcega, 216, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d7736365-Reviews-Deja_Burg-Barcelona_Catalonia.html,0.8074,5.0,Tapas
201,DelaCrem,"Enric Granados, 15, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2696567-Reviews-DelaCrem-Barcelona_Catalonia.html,0.9399,5.0,Italian
202,Desoriente,"Carrer De Ramon Turró 209, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d24121270-Reviews-Desoriente-Barcelona_Catalonia.html,0.8479,5.0,Tapas
203,Disfrutar,"Calle Villarroel, 163, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d7281314-Reviews-Disfrutar-Barcelona_Catalonia.html,0.9403,5.0,Sudamerican
204,Divinus,"Paseo de Gracia, 28, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1567971-Reviews-Divinus-Barcelona_Catalonia.html,0.8402,5.0,Tapas
205,Don Asador,"Comte d’ urgell 111, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d23106564-Reviews-Don_Asador-Barcelona_Catalonia.html,0.8519,5.0,Meats
206,Don Kilo Gourmet,"Carrer Corsega 398, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d20053811-Reviews-Don_Kilo_Gourmet-Barcelona_Catalonia.html,0.891,5.0,Meats
207,Don Kilo Restaurant,"Carrer de Girona 133, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d15081706-Reviews-Don_Kilo_Restaurant-Barcelona_Catalonia.html,0.9661,5.0,Tapas
208,DonCurado Tasting Barcelona,"Rambla Del Poblenou, 125, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d4757741-Reviews-DonCurado_Tasting_Barcelona-Barcelona_Catalonia.html,0.8439,5.0,Tapas
209,Donizetti,"Diputació 137, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1081627-Reviews-Donizetti-Barcelona_Catalonia.html,0.9517,5.0,Italian
210,Dos Palillos,"Elisabets, 9, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1099373-Reviews-Dos_Palillos-Barcelona_Catalonia.html,0.8271,5.0,Tapas
211,ELS TRES PORQUETS,"RAMBLA DEL POBLENOU, 165, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1603454-Reviews-ELS_TRES_PORQUETS-Barcelona_Catalonia.html,0.8777,5.0,Tapas
212,Eat Caribbean,"Calle Montserrat 4, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d3173600-Reviews-Eat_Caribbean_Barcelona-Barcelona_Catalonia.html,0.936,5.0,Meats
213,EatMyTrip Brunch & Bakery Barcelona,"Carrer del Consell de Cent 378, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d14013338-Reviews-EatMyTrip_Brunch_Bakery_Barcelona-Barcelona_Catalonia.html,0.836,5.0,Italian
214,El 58,"Rambla del Poblenou, 58, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d4443928-Reviews-El_58-Barcelona_Catalonia.html,0.8934,5.0,Tapas
215,El Argentino,"Arago 224, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d3774084-Reviews-EL_Argentino-Barcelona_Catalonia.html,0.9612,5.0,Meats
216,El Boliche del Gordo Cabrera,"Consell de Cent, 338, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d844567-Reviews-El_Boliche_del_Gordo_Cabrera-Barcelona_Catalonia.html,0.8934,5.0,Meats
217,El Bosc de Les Fades,"Pasaje de la banca nr 7, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d4104804-Reviews-El_Bosc_de_Les_Fades-Barcelona_Catalonia.html,0.9001,5.0,Tapas
218,El Cangrejo Loco,"Carrer d'Aribau, 115-117, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1062176-Reviews-El_Cangrejo_Loco-Barcelona_Catalonia.html,0.8591,5.0,Tapas
219,El Cercle,"Carrer dels Arcs, 5 , Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d6657102-Reviews-El_Cercle_Restaurant-Barcelona_Catalonia.html,0.8625,5.0,Tapas
220,El Clot Restaurante Barcelona,"calle Aragon 600, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d10124872-Reviews-El_Clot_Restaurante_Barcelona-Barcelona_Catalonia.html,0.9013,5.0,Tapas
221,El Club De La Hamburguesa,"Valdonzella , 3, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d3163738-Reviews-El_Club_De_La_Hamburguesa-Barcelona_Catalonia.html,0.9169,5.0,Vegetarian
222,El Cocinero de Damasco,"Templers 2, corner with Palau, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d3196835-Reviews-El_Cocinero_de_Damasco-Barcelona_Catalonia.html,0.9438,5.0,Meats
223,El Corte Ingles,"Plaza de Cataluya, 14, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d997955-Reviews-El_Corte_Ingles-Barcelona_Catalonia.html,0.9118,5.0,Tapas
224,El Desvan,"Gran Via de les Corts Catalanes, 453, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d12695194-Reviews-El_Desvan-Barcelona_Catalonia.html,0.9042,5.0,Tapas
225,El Dorado Chicken,"Carrer De Balmes, 122, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d7786336-Reviews-El_Dorado_Chicken-Barcelona_Catalonia.html,0.8977,5.0,Tapas
226,El Filete Ruso,"C/ Enric Granados, 95, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2076092-Reviews-El_Filete_Ruso-Barcelona_Catalonia.html,0.8402,5.0,Tapas
227,El Foro,"Carrer de La Princesa, 53, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d806834-Reviews-Restaurante_El_Foro-Barcelona_Catalonia.html,0.9595,5.0,Meats
228,El Japones del Tragaluz,"Passatge de la Concepcio, 2, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d777378-Reviews-El_Japones_del_Tragaluz-Barcelona_Catalonia.html,0.8658,5.0,Tapas
229,El Jardí de l'Abadessa,"Abadessa Olzet, 26, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1028624-Reviews-El_Jardi_de_l_Abadessa-Barcelona_Catalonia.html,0.93,5.0,Meats
230,El Magraner Boig,"Calle D'en Robador, 22, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d8465604-Reviews-El_Magraner_Boig-Barcelona_Catalonia.html,0.9287,5.0,Tapas
231,El Melic del Gotic,"Montsio 7, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2094759-Reviews-El_Melic_del_Gotic-Barcelona_Catalonia.html,0.8126,5.0,Tapas
232,El Mercader de L'Eixample,"Carrer Mallorca, 239, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d9729869-Reviews-El_Mercader_de_L_Eixample-Barcelona_Catalonia.html,0.836,5.0,Bar
233,El Mexicano de Barcelona,"Calle Villarroel, 233, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d5768400-Reviews-El_Mexicano_de_Barcelona-Barcelona_Catalonia.html,0.8658,5.0,Mexican
234,El Nacional,"Paseo de Gracia 24, bis, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d7175242-Reviews-El_Nacional-Barcelona_Catalonia.html,0.886,5.0,Tapas
235,El Nacional - La Braseria,"Passeig de Gracia 24 bis, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d12902541-Reviews-El_Nacional_La_Braseria-Barcelona_Catalonia.html,0.8658,5.0,Meats
236,El Nacional - La Llotja,"Passeig de Gràcia, 24 bis, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d11868736-Reviews-El_Nacional_La_Llotja-Barcelona_Catalonia.html,0.875,5.0,Seafood
237,El Nacional - La Taperia,"Passeig de Gràcia, 24 bis, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d13154073-Reviews-El_Nacional_La_Taperia-Barcelona_Catalonia.html,0.8979,5.0,Tapas
238,El Nido Restaurante - H1898,"La Rambla 109, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2000909-Reviews-El_Nido_Restaurant_H1898-Barcelona_Catalonia.html,0.9816,5.0,Bar
239,El Pachuco,"Sant Pau 110, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d4913325-Reviews-El_Pachuco-Barcelona_Catalonia.html,0.8402,5.0,Meats
240,El Pebrot i El Petit Cargol,"C/ ALCOLEA 18, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1862367-Reviews-El_pebrot_i_el_petit_cargol-Barcelona_Catalonia.html,0.9637,5.0,Meats
241,El Pintxo De Petritxol,"Carrer de Petritxol, 9, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d7819946-Reviews-El_Pintxo_De_Petritxol-Barcelona_Catalonia.html,0.872,5.0,Tapas
242,El Quim de la Boqueria,"Rambles 91, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1080763-Reviews-El_Quim_de_la_Boqueria-Barcelona_Catalonia.html,0.8625,5.0,Tapas
243,El Raco de l'Aguir,"Tamarit, 117, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1061287-Reviews-El_Raco_de_l_Aguir-Barcelona_Catalonia.html,0.9504,5.0,Tapas
