Nombre,Dirección,Direccion_Web
El Rincón Steak House,"Carrer del Carme, 28, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1028090-Reviews-El_Rincon_Steak_House-Barcelona_Catalonia.html
The George Payne,"Plaza Urquinaona, 5, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2660220-Reviews-The_George_Payne-Barcelona_Catalonia.html
Telefèric,"Plaza Doctor Letamendi, 27, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3357978-Reviews-Teleferic-Barcelona_Catalonia.html
Restaurante  Koh-i-noor india,"Carrer del Marques de Campo Sagrado, 3, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d10482201-Reviews-Restaurante_Koh_i_Noor_India-Barcelona_Catalonia.html
Makamaka,"Passeig de Joan de Borbo, 76, 08039 Barcelona, Spain, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3519081-Reviews-Makamaka-Barcelona_Catalonia.html
Cu-Cut,"C/Enric Granados 68, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d7362191-Reviews-Cu_Cut-Barcelona_Catalonia.html
La Parrillada,"Carrer de Salamanca, 1, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d25064697-Reviews-La_Parrillada-Barcelona_Catalonia.html
Can Dendê,"Carrer Ciutat de Granada, 44, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d7387261-Reviews-Can_Dende-Barcelona_Catalonia.html
Bo Kaap,"Playa Bogatell  Av. Litoral, s/n, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d13958571-Reviews-Bo_Kaap-Barcelona_Catalonia.html
Gilda by Belgious,"Calle Ample, 34, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1966404-Reviews-Gilda_by_Belgious-Barcelona_Catalonia.html
Oporto Restaurante,"Carrer Sardenya, 296, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d8275743-Reviews-Oporto_Restaurante-Barcelona_Catalonia.html
El Pintxo De Petritxol,"Carrer de Petritxol, 9, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d7819946-Reviews-El_Pintxo_De_Petritxol-Barcelona_Catalonia.html
Avinyo 10,"Carrer Avinyo 10, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d8558090-Reviews-Avinyo10-Barcelona_Catalonia.html
Toyo Restaurant Japones,"Calle Torrent de l'Olla, 8, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3874117-Reviews-Toyo_Restaurant_Japones-Barcelona_Catalonia.html
Gran Viana,"Carrer Dels Escudellers 24, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d15321479-Reviews-Gran_Viana-Barcelona_Catalonia.html
Güell Tapas,"Carrer Nou de la Rambla, 20, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3601243-Reviews-Guell_Tapas-Barcelona_Catalonia.html
Patagonia Beef & Wine,"Gran Via de Les Corts Catalanes, 660, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1045629-Reviews-Patagonia_Beef_Wine-Barcelona_Catalonia.html
Sabes una cosa,"Calle Tordera 52, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d7113337-Reviews-Sabes_una_cosa-Barcelona_Catalonia.html
Foc i Oli,"Paris ,177, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d4091047-Reviews-Foc_i_Oli_Aribau-Barcelona_Catalonia.html
Yakumanka,"C/ Valencia 207, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d12880690-Reviews-Yakumanka_by_Gaston_Acurio-Barcelona_Catalonia.html
Restaurante Can Fusté,"Gran via Carles Iii, 50, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d997689-Reviews-Restaurante_Can_Fuste-Barcelona_Catalonia.html
La Fonda del Port Olimpic,"Moll Gregal, 7-10, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1762706-Reviews-La_Fonda_del_Port_Olimpic-Barcelona_Catalonia.html
Matsuri Sushi Bar,"Plaça del Regomir 1, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d805530-Reviews-Matsuri_Sushi_Bar-Barcelona_Catalonia.html
Restaurante Salamanca,"Almirall Cervera, 34, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1007529-Reviews-Restaurante_Salamanca-Barcelona_Catalonia.html
Bar Bacaro,"Calle Jerusalem 6 Loc 1, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2296422-Reviews-Bar_Bacaro-Barcelona_Catalonia.html
Pizzeria Da Nanni BORN,"Carrer del Rec 30, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d21048917-Reviews-Pizzeria_Da_Nanni_BORN-Barcelona_Catalonia.html
Bar La Plata,"Mercè 28, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1191525-Reviews-Bar_La_Plata-Barcelona_Catalonia.html
Bacoa Burger Ferran,"Carrer de Ferran, 10, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d8153432-Reviews-Bacoa_Burger-Barcelona_Catalonia.html
Le Cucine Mandarosso,"Verdaguer i Callís, 4, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1124771-Reviews-Le_Cucine_Mandarosso-Barcelona_Catalonia.html
O' Retorno Restaurant,"Comte D'urgell, 168, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d997354-Reviews-O_Retorno_Restaurant-Barcelona_Catalonia.html
Mayura,"Carrer Girona, 57, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1072346-Reviews-Mayura-Barcelona_Catalonia.html
Escriba Gran Via,"Gran Via de les Corts Catalanes, 546, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1114190-Reviews-Escriba_Gran_Via-Barcelona_Catalonia.html
Nomo Galvany,"Madrazo, 135, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1841843-Reviews-Nomo_Galvany-Barcelona_Catalonia.html
Bun Bo Vietnam,"Calle Sagristans, 3, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1752833-Reviews-Bun_Bo_Vietnam-Barcelona_Catalonia.html
La Taqueria,"Passatge del Font 5, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2590132-Reviews-La_Taqueria-Barcelona_Catalonia.html
La Esquinica,"Fabra I Puig, 296, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d877654-Reviews-La_Esquinica-Barcelona_Catalonia.html
Cuines Santa Caterina,"Francesc Cambó 16, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d786958-Reviews-Cuines_Santa_Caterina-Barcelona_Catalonia.html
Taktika Berri,"Carrer Valencia, 169, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d997302-Reviews-Restaurante_Taktika_Berri-Barcelona_Catalonia.html
Restaurante Addis Abeba,"Calle de Vallespir, 44, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1832382-Reviews-Restaurante_Addis_Abeba-Barcelona_Catalonia.html
Can Kenji,"Carrer Rossello 325, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2044401-Reviews-Can_Kenji-Barcelona_Catalonia.html
Ristorante Margherita,"Carrer del Rosselló, 253, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d5820198-Reviews-Ristorante_Margherita-Barcelona_Catalonia.html
Osmosis,"Aribau 100, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1074881-Reviews-Osmosis-Barcelona_Catalonia.html
Mont Bar,"Diputacio 220, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d4021769-Reviews-Mont_Bar-Barcelona_Catalonia.html
Vegetalia Born,"Pl. Del Fossar de Les Moreres, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d8337477-Reviews-Vegetalia_Born-Barcelona_Catalonia.html
L’ Amfora Barcelona,"Avenida del Parallel, 184, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1379335-Reviews-L_Amfora_Barcelona-Barcelona_Catalonia.html
Ugot Bruncherie,"Carrer de Viladomat 138, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d8531379-Reviews-Ugot_Bruncherie-Barcelona_Catalonia.html
El Argentino,"Arago 224, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3774084-Reviews-EL_Argentino-Barcelona_Catalonia.html
Mako,"Consell de Cent 255, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d11814977-Reviews-Mako-Barcelona_Catalonia.html
Mediterráneo Ristorante,"Carrer de Josep Pla, 19, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d8393658-Reviews-Mediterraneo_Ristorante-Barcelona_Catalonia.html
Oaxaca Cuina Mexicana - Restaurante y Mezcalería,"Pla de Palau, 19, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d7019028-Reviews-Oaxaca_Cuina_Mexicana-Barcelona_Catalonia.html
Merendero de la Mari,"Placa Pau Vila 1 Port Vell, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1060944-Reviews-Merendero_de_la_Mari-Barcelona_Catalonia.html
La Dolça Herminia,"Magdalenas, 27, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d717271-Reviews-La_Dolca_Herminia-Barcelona_Catalonia.html
Disfrutar,"Calle Villarroel, 163, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d7281314-Reviews-Disfrutar-Barcelona_Catalonia.html
Nomo Gracia,"Carrer Gran de Gràcia, 13, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1011225-Reviews-Nomo_Gracia-Barcelona_Catalonia.html
Anauco Barcelona,"Calle Valencia 428, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3708859-Reviews-Anauco_Barcelona-Barcelona_Catalonia.html
Bar Lobo,"Pintor Fortuny 3, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d907765-Reviews-Bar_Lobo-Barcelona_Catalonia.html
Chéri,"Enrique Granados, 122, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d4502088-Reviews-Cheri-Barcelona_Catalonia.html
Bar Rodrigo,"Argenteria 67, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d717395-Reviews-Bar_Rodrigo-Barcelona_Catalonia.html
Velodromo,"Muntaner 213, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1576209-Reviews-Velodromo-Barcelona_Catalonia.html
Els Pescadors,"Placa Prim 1, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d697576-Reviews-Els_Pescadors-Barcelona_Catalonia.html
Can Majó,"Carrer Emília Llorca Martín, 23, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d697463-Reviews-Can_Majo-Barcelona_Catalonia.html
Compartir,"Riera Sant Vicenç s/n, Cadaqués, Costa Brava, Provincia de Girona, Cataluña, España",/Restaurant_Review-g580326-d2716931-Reviews-Compartir-Cadaques_Costa_Brava_Province_of_Girona_Catalonia.html
Citrus Restaurant & Sushi bar,"Passeig de Gracia, 44, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d819628-Reviews-Citrus_Restaurant_Sushi_bar-Barcelona_Catalonia.html
ABaC,"Avinguda Tibidabo, 1, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1074448-Reviews-ABaC-Barcelona_Catalonia.html
Micu Maku,"Carrer d'Aribau 22, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d6216371-Reviews-Micu_Maku-Barcelona_Catalonia.html
Barcelona 360,"Calle Alcanfores 699, Lima, Región de Lima, Perú",/Restaurant_Review-g294316-d4412279-Reviews-Barcelona_360-Lima_Lima_Region.html
De Paula L'hamburgueseria del Poble Sec,"Creu Dels Molers, 65, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d6484807-Reviews-De_Paula_L_hamburgueseria_del_Poble_Sec-Barcelona_Catalonia.html
Hungaryto,"Arago, 353, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3164386-Reviews-Hungaryto-Barcelona_Catalonia.html
Off-street,"Carrer De Teodor Llorente, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d23964651-Reviews-Off_Street-Barcelona_Catalonia.html
Ristorante Pizzeria  Eden,"C/ de Provença, 332, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3452955-Reviews-Ristorante_Pizzeria_Eden-Barcelona_Catalonia.html
Akashi Gallery,"Carrer Rossello, 197, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3813797-Reviews-Akashi_Gallery-Barcelona_Catalonia.html
Da Greco,"Carrer de Santa Teresa, 10, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1066946-Reviews-Da_Greco-Barcelona_Catalonia.html
König Barcelona Centro,"Rambla de Catalunya, 5, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d5580880-Reviews-Konig_Barcelona_Centro-Barcelona_Catalonia.html
La Fabrica,"Plaza la Llana, 15, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d6673234-Reviews-LA_FABRICA-Barcelona_Catalonia.html
Cera 23,"Carrer de la Cera, 23, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2314335-Reviews-Cera_23-Barcelona_Catalonia.html
Granja Petitbo,"Passeig de Sant Joan, 82, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3847498-Reviews-Granja_Petitbo-Barcelona_Catalonia.html
Vivo Tapas,"Carrer del Rosselló 255, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d10901576-Reviews-Vivo_Tapas-Barcelona_Catalonia.html
Yashima,"Avda. Josep Tarradellas 145, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d950235-Reviews-Yashima-Barcelona_Catalonia.html
Mutenroshi Ramen,"Carrer de Sant Agusti, 10, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d10754603-Reviews-Mutenroshi_Ramen-Barcelona_Catalonia.html
The Green Spot,"Calle de la Reina Cristina 12, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d10058436-Reviews-The_Green_Spot-Barcelona_Catalonia.html
Semproniana,"Rosselló 148, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d810152-Reviews-Semproniana-Barcelona_Catalonia.html
La Rita,"Aragón 279, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3195639-Reviews-La_Rita-Barcelona_Catalonia.html
Recasens,"Rambla del Poblenou 102, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d949081-Reviews-Recasens-Barcelona_Catalonia.html
Ceviche 103,"Carrer de Londres, 103, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d5452880-Reviews-Ceviche_103-Barcelona_Catalonia.html
El Nacional - La Taperia,"Passeig de Gràcia, 24 bis, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d13154073-Reviews-El_Nacional_La_Taperia-Barcelona_Catalonia.html
Chen Ji,"Ali Bei 65, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2691999-Reviews-Chen_Ji-Barcelona_Catalonia.html
Out of China,"Calle Aribau 112, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d751586-Reviews-Out_of_China-Barcelona_Catalonia.html
Ikibana Sarriá,"Calle Doctor Fleming, 11, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d8784072-Reviews-Ikibana_Sarria-Barcelona_Catalonia.html
Chilango's Taqueria Barcelona,"Carrer Nou de la Rambla 95, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d12978144-Reviews-Chilango_s_Taqueria_Barcelona-Barcelona_Catalonia.html
Petritxol Cafe,"Calle Petritxol, 11, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2429712-Reviews-Petritxol_Cafe-Barcelona_Catalonia.html
La Terraza del Claris,"Pau Claris 150, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1080772-Reviews-La_Terraza_del_Claris-Barcelona_Catalonia.html
El Corte Ingles,"Plaza de Cataluya, 14, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d997955-Reviews-El_Corte_Ingles-Barcelona_Catalonia.html
Restaurante Igueldo,"Calle Rossello 186, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2062741-Reviews-Igueldo-Barcelona_Catalonia.html
Giorgio Barcelona,"c/ Ausias Marc, 3, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3833269-Reviews-Giorgio_Barcelona-Barcelona_Catalonia.html
Alquimia Barcelona,"Carrer D'Aribau, 77, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d21074724-Reviews-Alquimia_Barcelona-Barcelona_Catalonia.html
Mussol Aragó,"Carrer Arago, 261, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3229135-Reviews-Mussol_Arago-Barcelona_Catalonia.html
La Botiga Arenas,"Gran Via de les Corts Catalanes, 373-385, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3522927-Reviews-La_Botiga_Arenas-Barcelona_Catalonia.html
Balthazar,"Rossello, 189, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d782427-Reviews-Balthazar-Barcelona_Catalonia.html
Copasetic Barcelona,"Diputacio, 55, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d4262256-Reviews-Copasetic_Barcelona-Barcelona_Catalonia.html
Restaurante argentino El Calafate,"Calle de Paris, 145, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2480078-Reviews-Restaurante_argentino_El_Calafate-Barcelona_Catalonia.html
Tio Joe,"Via Augusta 9, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d7223439-Reviews-Tio_Joe-Barcelona_Catalonia.html
Restaurante Fukamura,"Calle Corsega 479, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d10432647-Reviews-Restaurante_Fukamura-Barcelona_Catalonia.html
Terrazza Ravello,"Plaza Pau Vila, 1, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d15309834-Reviews-Terrazza_Ravello-Barcelona_Catalonia.html
Palo Cortao,"C/ Nou de la Ramba, 146, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d6916095-Reviews-Palo_Cortao-Barcelona_Catalonia.html
Contempo Gastrobar,"Calle Bergara, 9, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3377895-Reviews-Contempo_Gastrobar-Barcelona_Catalonia.html
Catalunya Restaurante,"Calle Avinyo 42, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d11982313-Reviews-Catalunya_Restaurant-Barcelona_Catalonia.html
Restaurante BarcelonaMilano,"Carrer de Villarroel, 190, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d7057196-Reviews-Restaurant_BarcelonaMilano-Barcelona_Catalonia.html
Tragaluz,"Passatge De La Concepcion, Number 5, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d718426-Reviews-Tragaluz-Barcelona_Catalonia.html
El Rebost d'Hostafrancs,"Bejar, 33, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d997944-Reviews-El_Rebost_d_Hostafrancs-Barcelona_Catalonia.html
Restaurante L'hortet,"Pintor Fortuny, 32, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d717255-Reviews-Restaurante_L_hortet-Barcelona_Catalonia.html
BRO Room,"Corsega 562, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d10079494-Reviews-BRO_Room-Barcelona_Catalonia.html
Paradiso,"Calle Rera Palau 4, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d9569889-Reviews-Paradiso-Barcelona_Catalonia.html
Taverna El Glop,"C/ Sant Lluis 24, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d778744-Reviews-Taverna_El_Glop-Barcelona_Catalonia.html
Luigi Ristorante,"Roger de Lluria, 50, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d10169310-Reviews-Luigi_Ristorante-Barcelona_Catalonia.html
Cecconi's Barcelona,"Passeig de Colom, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d11835130-Reviews-Cecconi_s_Barcelona-Barcelona_Catalonia.html
La Pastisseria Barcelona,"c/aragò 228, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3296268-Reviews-La_Pastisseria_Barcelona-Barcelona_Catalonia.html
Can Fisher,"Avenida Litoral, 64, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d12494116-Reviews-Can_Fisher-Barcelona_Catalonia.html
El Dorado Chicken,"Carrer De Balmes, 122, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d7786336-Reviews-El_Dorado_Chicken-Barcelona_Catalonia.html
La Royale,"Placa del Camp, 5, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2481518-Reviews-La_Royale-Barcelona_Catalonia.html
Brunch & Cake,"Enric Granados, 19, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3163747-Reviews-Brunch_Cake-Barcelona_Catalonia.html
Cocina Hermanos Torres,"Carrer del Taquígraf Serra, 20, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d14783967-Reviews-Cocina_Hermanos_Torres-Barcelona_Catalonia.html
Spark,"Calle Diputacion, 329, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d12333885-Reviews-Spark-Barcelona_Catalonia.html
Ziryab bar de tapas fusión mediterránea,"Carrer de Grunyi 5, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d7302930-Reviews-Ziryab_Fusion_Tapas_Bar-Barcelona_Catalonia.html
Milk Bar & Bistro,"Carrer d'en Gignàs 21, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1122768-Reviews-Milk_Bar_Bistro-Barcelona_Catalonia.html
Restaurante el Porvenir,"Calle Villarroel , Restaurante el Porvenir 46, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d4580269-Reviews-Restaurante_el_Porvenir-Barcelona_Catalonia.html
"La Tagliatella C/ Josep Tarradellas, Barcelona","Josep Tarradellas 116, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d806360-Reviews-La_Tagliatella_C_Josep_Tarradellas_Barcelona-Barcelona_Catalonia.html
Miseria e Nobiltà,"Carrer Besalú, 46, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d7158449-Reviews-Miseria_e_Nobilta-Barcelona_Catalonia.html
Nineteen Restaurant,"Pl. de Catalunya, 19, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1854784-Reviews-Nineteen_Restaurant-Barcelona_Catalonia.html
La Real Hamburguesería,"Carrer de Valencia 285, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d12443002-Reviews-La_Real_Hamburgueseria-Barcelona_Catalonia.html
Dos Palillos,"Elisabets, 9, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1099373-Reviews-Dos_Palillos-Barcelona_Catalonia.html
Alba Granados,"Enric Granados 34, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1057957-Reviews-Alba_Granados-Barcelona_Catalonia.html
Casa Delfin,"Passeig del Born, 36, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1490986-Reviews-Casa_Delfin-Barcelona_Catalonia.html
La Pepita,"C /Corsega 343, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2151085-Reviews-La_Pepita-Barcelona_Catalonia.html
Tapas 24,"Carrer de la Diputacio, 269, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1314895-Reviews-Tapas_24-Barcelona_Catalonia.html
Madre Taberna Moderna,"Avinguda de Gaudí, 11, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d23348829-Reviews-Madre_Taberna_Moderna-Barcelona_Catalonia.html
Mannà Gelats,"Carrer dels Banys Nous 22, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d6681017-Reviews-Manna_Gelats-Barcelona_Catalonia.html
My Way Lounge Restaurant,"Calle de les Heures, 4-10, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1080185-Reviews-My_Way_Lounge_Restaurant-Barcelona_Catalonia.html
Gelaaati Di Marco,"Llibreteria, 7, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1601186-Reviews-Gelaaati_Di_Marco-Barcelona_Catalonia.html
Donizetti,"Diputació 137, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1081627-Reviews-Donizetti-Barcelona_Catalonia.html
Restaurant Windsor,"Corsega 286, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d718433-Reviews-Windsor-Barcelona_Catalonia.html
Fenicia,"Psg Antoni, 9, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d790539-Reviews-Fenicia-Barcelona_Catalonia.html
Rekons,"Calle Comte D'Urgell, 32, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2569434-Reviews-Rekons-Barcelona_Catalonia.html
Season Tapas Restaurant,"Carrer d'Aribau, 125, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d15148522-Reviews-Season_Tapas_Restaurant-Barcelona_Catalonia.html
The Sopa Boba,"Carrer del Bruc,115, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d7724305-Reviews-The_Sopa_Boba-Barcelona_Catalonia.html
Chivuo's Slow Street Food & Craft Beer,"Carrer del Torrent de l'Olla, 175, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d7014721-Reviews-Chivuo_s_Gracia_Slow_Street_Food_Craft_Beer-Barcelona_Catalonia.html
Taquerías Tamarindo,"Carrer de Aragó 236, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d6602986-Reviews-Taquerias_Tamarindo-Barcelona_Catalonia.html
La Central Burgers,"Via Laietana, 45, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d8613668-Reviews-La_Central_Burgers-Barcelona_Catalonia.html
Restaurante Leku,"Carrer de Joan Guell, 189, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d10292912-Reviews-Restaurante_Leku-Barcelona_Catalonia.html
Big Al's American Kitchen,"Corsega 178, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d8651926-Reviews-Big_Al_s_American_Kitchen-Barcelona_Catalonia.html
Kitsune Sushi Bar Gràcia,"Carrer del Montseny 13, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d9874320-Reviews-Kitsune_Sushi_Bar_Gracia-Barcelona_Catalonia.html
A Tu Bola,"Carrer de l'Hospital, 78, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d6370280-Reviews-A_Tu_Bola-Barcelona_Catalonia.html
Blavis,"Carrer Saragossa, 85, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3353672-Reviews-Blavis-Barcelona_Catalonia.html
Rasoterra,"Carrer Palau, 5, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d4080701-Reviews-Rasoterra-Barcelona_Catalonia.html
La Colosal,"Rambla de Catalunya 23, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d14112831-Reviews-La_Colosal-Barcelona_Catalonia.html
Restaurante Seoul,"Avenida gaudi,70, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d997325-Reviews-Restaurante_Seoul-Barcelona_Catalonia.html
Ascent Restaurant,"Carrer dels Arcs 10, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1675109-Reviews-Ascent_Restaurant-Barcelona_Catalonia.html
Abirradero,"Carrer Vila i Vila, 77, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d8738631-Reviews-Abirradero-Barcelona_Catalonia.html
Flax and Kale  Passage,"Carrer De Sant Pere Mes Alt 31-33, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d13174477-Reviews-Flax_and_Kale_Passage-Barcelona_Catalonia.html
La Bombeta,"Maquinista, 3, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d799065-Reviews-La_Bombeta-Barcelona_Catalonia.html
Restaurante Barceloneta,"C/ de l’Escar, 22, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d4972660-Reviews-Restaurante_Barceloneta-Barcelona_Catalonia.html
La Terraza Miro,"Carrer De Tarragona, 129, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d8675078-Reviews-La_Terraza_Miro-Barcelona_Catalonia.html
